user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel,tenure_days,current_plan_id,plan_name,tier,current_plan_price,lifetime_paid_months,last_active_date,engagement_band,avg_active_days,avg_minutes_week,sub_status,sub_end,is_churned
U000001,2025-05-27,1,value,mobile,paid_social,234,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,0.0,cancelled,2025-10-24,1
U000002,2025-11-15,1,regular,web,search,62,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,141.72,active,2026-01-30,0
U000003,2025-10-16,1,regular,web,referral,92,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.75,100.2025,cancelled,2026-01-14,1
U000004,2025-08-23,2,regular,web,referral,146,PLN_PREM,Premium,high,799.0,1,2026-01-30,high,10.75,291.9175,active,2026-01-30,0
U000005,2025-08-21,1,regular,mobile,organic,148,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,194.6575,active,2026-01-30,0
U000006,2025-12-06,3,value,mobile,organic,41,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,86.0725,active,2026-01-30,0
U000007,2025-05-26,3,value,mobile,organic,235,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,96.08,active,2026-01-30,0
U000008,2025-10-27,3,value,web,organic,81,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,93.835,active,2026-01-30,0
U000009,2025-06-24,2,premium,web,search,206,PLN_PREM,Premium,high,799.0,1,2026-01-30,high,10.75,368.205,active,2026-01-30,0
U000010,2025-05-28,3,value,web,organic,233,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.5,62.3775,active,2026-01-30,0
U000011,2025-09-14,1,premium,mobile,paid_social,124,PLN_PREM,Premium,high,799.0,1,2026-01-30,high,10.75,311.785,active,2026-01-30,0
U000012,2026-01-04,2,value,web,organic,12,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,6.75,42.3575,cancelled,2026-01-30,1
U000013,2025-11-05,2,value,web,organic,72,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,90.0975,active,2026-01-30,0
U000014,2025-11-12,3,value,mobile,paid_social,65,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,55.6475,cancelled,2026-01-15,1
U000015,2025-11-01,2,value,web,search,76,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,16.81,cancelled,2026-01-01,1
U000016,2025-11-18,3,regular,mobile,search,59,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.75,191.95250000000001,active,2026-01-30,0
U000017,2025-09-10,1,regular,web,referral,128,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,145.9775,active,2026-01-30,0
U000018,2025-06-06,3,value,unknown,email,224,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,96.215,active,2026-01-30,0
U000019,2025-12-01,2,regular,web,search,46,PLN_PREM,Premium,high,799.0,1,2026-01-30,high,10.5,224.42,active,2026-01-30,0
U000020,2025-08-26,2,regular,web,organic,143,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.75,124.2925,active,2026-01-30,0
U000021,2025-09-07,3,premium,web,organic,131,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.75,253.3925,active,2026-01-30,0
U000022,2025-08-06,2,premium,web,email,163,PLN_PREM,Premium,high,799.0,1,2026-01-30,high,10.5,327.5575,active,2026-01-30,0
U000023,2025-06-19,2,regular,mobile,paid_social,211,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,0.0,cancelled,2025-11-19,1
U000024,2025-12-23,2,regular,web,paid_social,24,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,9.5,168.465,active,2026-01-30,0
U000025,2025-11-17,1,regular,web,paid_social,60,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.25,175.36,active,2026-01-30,0
U000026,2025-10-13,2,regular,mobile,organic,95,PLN_PREM,Premium,high,799.0,1,2026-01-30,high,10.5,0.0,cancelled,2025-12-12,1
U000027,2025-08-14,1,regular,web,search,155,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,0.0,cancelled,2025-11-12,1
U000028,2025-11-27,1,value,mobile,referral,50,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,15.122499999999999,expired,2026-01-03,1
U000029,2025-09-18,3,regular,mobile,referral,120,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.5,183.545,active,2026-01-30,0
U000030,2025-08-24,2,premium,web,organic,145,PLN_PREM,Premium,high,799.0,1,2026-01-30,high,10.75,249.875,active,2026-01-30,0
U000031,2025-08-26,2,value,mobile,paid_social,143,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,107.5025,active,2026-01-30,0
U000032,2025-07-01,2,regular,web,organic,199,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.75,0.0,cancelled,2025-12-04,1
U000033,2025-05-28,2,premium,web,email,233,PLN_PREM,Premium,high,799.0,1,2026-01-30,high,10.5,0.0,expired,2025-07-03,1
U000034,2025-09-21,2,value,web,organic,117,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,3.13,cancelled,2025-12-21,1
U000035,2025-12-13,3,regular,mobile,paid_social,34,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.75,165.235,active,2026-01-30,0
U000036,2025-05-21,3,premium,mobile,organic,240,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.5,0.0,expired,2025-08-25,1
U000037,2025-12-06,2,premium,web,paid_social,41,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.5,309.1325,active,2026-01-30,0
U000038,2025-11-28,2,value,mobile,paid_social,49,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,39.105,active,2026-01-30,0
U000039,2025-07-13,2,value,web,organic,187,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,101.775,active,2026-01-30,0
U000040,2025-10-10,2,regular,mobile,referral,98,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.75,187.845,active,2026-01-30,0
U000041,2025-06-15,2,value,mobile,referral,215,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,141.85474158801736,active,2026-01-30,0
U000042,2025-11-11,2,value,mobile,referral,66,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,0.0,cancelled,2025-12-18,1
U000043,2025-10-27,2,value,mobile,organic,81,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.75,126.1675,active,2026-01-30,0
U000044,2025-08-01,2,value,mobile,paid_social,168,PLN_BASIC,Basic,low,299.0,1,2026-01-30,high,10.5,0.0,cancelled,2025-09-05,1
U000045,2025-05-22,2,regular,web,search,239,PLN_STD,Standard,mid,499.0,1,2026-01-30,high,10.75,195.995,active,2026-01-30,0
