user_id,current_plan_id,current_plan_price,tier,tenure_days,city_tier,segment,engagement_band,total_active_days,total_minutes,total_sessions,total_feature_events,usage_trend,days_last_week,pay_attempts,pay_failures,pay_failure_rate,last_activity_date,days_since_last_activity,touch_count,touch_clicked,touch_redeemed,will_churn_14d,as_of_date
U000001,PLN_BASIC,299.0,low,234,1,value,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000002,PLN_BASIC,299.0,low,62,1,regular,high,27,371.46999999999997,28,37,-0.666666666666667,5.0,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000003,PLN_STD,499.0,mid,92,1,regular,high,28,400.81,26,42,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000004,PLN_PREM,799.0,high,146,2,regular,high,28,615.89,33,57,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,2.0,0.0,0.0,0,2026-01-16
U000005,PLN_BASIC,299.0,low,148,1,regular,high,28,506.97,32,49,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000006,PLN_BASIC,299.0,low,41,3,value,high,27,231.38,16,26,-0.666666666666667,5.0,0.0,0.0,0.0,2026-01-15,1,2.0,0.0,0.0,0,2026-01-16
U000007,PLN_BASIC,299.0,low,235,3,value,high,28,245.91,21,27,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000008,PLN_BASIC,299.0,low,81,3,value,high,28,247.56,17,32,-0.16666666666666696,5.5,2.0,1.0,0.5,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000009,PLN_PREM,799.0,high,206,2,premium,high,28,1020.1800000000001,57,115,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,2.0,1.0,0.0,0,2026-01-16
U000010,PLN_STD,499.0,mid,233,3,value,high,28,180.49,10,15,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000011,PLN_PREM,799.0,high,124,1,premium,high,28,776.9,46,65,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000012,PLN_BASIC,299.0,low,12,2,value,high,12,60.230000000000004,6,7,4.5,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000013,PLN_BASIC,299.0,low,72,2,value,high,27,169.73000000000002,12,22,-0.666666666666667,5.0,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000014,PLN_BASIC,299.0,low,65,3,value,high,28,222.59,15,25,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000015,PLN_BASIC,299.0,low,76,2,value,high,28,67.24,3,3,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000016,PLN_STD,499.0,mid,59,3,regular,high,28,351.82,22,30,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000017,PLN_BASIC,299.0,low,128,1,regular,high,28,310.78,18,30,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000018,PLN_BASIC,299.0,low,224,3,value,high,28,286.59000000000003,19,40,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000019,PLN_PREM,799.0,high,46,2,regular,high,27,631.02,43,70,0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000020,PLN_STD,499.0,mid,143,2,regular,high,28,213.46,17,17,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000021,PLN_STD,499.0,mid,131,3,premium,high,28,796.33,52,81,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000022,PLN_PREM,799.0,high,163,2,premium,high,27,926.19,42,70,-0.666666666666667,5.0,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000023,PLN_BASIC,299.0,low,211,2,regular,high,27,0.0,0,0,0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000024,PLN_STD,499.0,mid,24,2,regular,high,24,437.35,31,42,-1.0,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000025,PLN_STD,499.0,mid,60,1,regular,high,26,350.84000000000003,18,29,0.5,5.5,1.0,0.0,0.0,2026-01-15,1,2.0,0.0,0.0,0,2026-01-16
U000026,PLN_PREM,799.0,high,95,2,regular,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000027,PLN_BASIC,299.0,low,155,1,regular,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000028,PLN_BASIC,299.0,low,50,1,value,high,28,60.489999999999995,5,6,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000029,PLN_STD,499.0,mid,120,3,regular,high,28,404.66999999999996,25,44,-0.16666666666666696,5.5,2.0,1.0,0.5,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000030,PLN_PREM,799.0,high,145,2,premium,high,28,633.52,27,57,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,1.0,1.0,0.0,0,2026-01-16
U000031,PLN_BASIC,299.0,low,143,2,value,high,28,308.1,19,29,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000032,PLN_STD,499.0,mid,199,2,regular,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000033,PLN_PREM,799.0,high,233,2,premium,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000034,PLN_BASIC,299.0,low,117,2,value,high,27,12.52,2,1,-0.666666666666667,5.0,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000035,PLN_STD,499.0,mid,34,3,regular,high,28,506.12,36,47,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000036,PLN_STD,499.0,mid,240,3,premium,high,27,0.0,0,0,-0.666666666666667,5.0,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000037,PLN_STD,499.0,mid,41,2,premium,high,27,847.21,75,84,0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000038,PLN_BASIC,299.0,low,49,2,value,high,28,88.08,6,6,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000039,PLN_BASIC,299.0,low,187,2,value,high,28,224.39000000000001,16,23,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000040,PLN_STD,499.0,mid,98,2,regular,high,28,504.17,34,61,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000041,PLN_BASIC,299.0,low,215,2,value,high,28,317.9389663520695,16,25,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000042,PLN_BASIC,299.0,low,66,2,value,high,27,0.0,0,0,-0.666666666666667,5.0,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000043,PLN_BASIC,299.0,low,81,2,value,high,28,331.04,27,35,-0.16666666666666696,5.5,2.0,1.0,0.5,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000044,PLN_BASIC,299.0,low,168,2,value,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000045,PLN_STD,499.0,mid,239,2,regular,high,28,493.35,36,53,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000046,PLN_STD,499.0,mid,13,2,regular,high,13,218.98999999999998,17,22,3.5,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000047,PLN_STD,499.0,mid,145,1,regular,high,28,1076.9652514966558,23,53,-0.16666666666666696,5.5,2.0,1.0,0.5,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000048,PLN_STD,499.0,mid,32,1,regular,high,28,416.52,24,43,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000049,PLN_BASIC,299.0,low,86,2,regular,high,28,410.94,23,50,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000050,PLN_STD,499.0,mid,61,2,value,high,27,12.54,1,1,0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000051,PLN_BASIC,299.0,low,66,1,value,high,27,259.94,14,31,0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000052,PLN_STD,499.0,mid,208,2,value,high,28,114.78999999999999,10,14,-0.16666666666666696,5.5,1.0,1.0,1.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000053,PLN_BASIC,299.0,low,165,3,value,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000054,PLN_STD,499.0,mid,139,2,value,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000055,PLN_BASIC,299.0,low,132,3,value,high,26,0.0,0,0,0.5,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000056,PLN_BASIC,299.0,low,246,3,value,high,28,218.79,18,26,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000057,PLN_PREM,799.0,high,119,2,regular,high,27,404.97999999999996,19,50,0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000058,PLN_BASIC,299.0,low,218,2,regular,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000059,PLN_PREM,799.0,high,70,1,premium,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000060,PLN_STD,499.0,mid,85,3,regular,high,28,612.22,32,71,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000061,PLN_STD,499.0,mid,25,2,regular,high,25,257.65000000000003,18,22,-1.5,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000062,PLN_BASIC,299.0,low,70,3,value,high,28,238.57,18,27,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000063,PLN_STD,499.0,mid,164,2,regular,high,28,484.46,32,54,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000064,PLN_BASIC,299.0,low,14,1,value,high,14,123.17,6,14,2.5,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,1,2026-01-16
U000065,PLN_BASIC,299.0,low,153,1,regular,high,27,471.71,29,52,0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000066,PLN_STD,499.0,mid,175,2,regular,high,27,494.02,24,53,0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,2.0,0.0,0.0,0,2026-01-16
U000067,PLN_STD,499.0,mid,29,2,regular,high,28,444.58,30,39,-0.16666666666666696,5.5,1.0,1.0,1.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000068,PLN_BASIC,299.0,low,164,1,value,high,28,232.83,10,17,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000069,PLN_PREM,799.0,high,237,2,regular,high,28,30.509999999999998,2,5,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,2.0,1.0,0.0,1,2026-01-16
U000070,PLN_BASIC,299.0,low,139,3,regular,high,28,0.0,0,0,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000071,PLN_STD,499.0,mid,57,2,regular,high,27,29.95,4,3,-0.666666666666667,5.0,0.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,1,2026-01-16
U000072,PLN_STD,499.0,mid,209,2,regular,high,28,407.39,29,48,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,1.0,0.0,0.0,0,2026-01-16
U000073,PLN_STD,499.0,mid,140,1,regular,high,27,505.67,35,43,0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000074,PLN_STD,499.0,mid,224,3,value,high,28,291.81,26,36,-0.16666666666666696,5.5,0.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
U000075,PLN_BASIC,299.0,low,84,2,regular,high,28,552.5,37,59,-0.16666666666666696,5.5,1.0,0.0,0.0,2026-01-15,1,0.0,0.0,0.0,0,2026-01-16
